61 mutations disappeared and 270 mutations appeared between 2 times.

--- Mutation subtypes ---
nonsynonymous SNV: 277
stopgain: 18	startloss: 1	frameshift insertion: 2frameshift deletion: 33

--- Characteristics ---
Average DP: 298		Average AD: 277
Average VAF sample: 0.05	   Average VAF pop: 0.001126

----- Impact on protein -----
SIFT scores counts: 
-1-0.05 = 155, 0.05-0.2 = 85, 0.2-1.5 = 24, not found = 67

SIFT predictions: 
not found = 67, Tolerated = 108, Deleterious = 156

Polyphen2 scores counts: 
-1-0.45 = 74, 0.45-0.95 = 49, 0.95-1.5 = 147, not found = 61

Polyphen predictions: 
not found = 61, Probably damaging = 145, Benign = 74, Possibly damaging = 51

--- Locations ---
chr19: 32
chr2: 31
chr1: 29
chr9: 22
chr11: 21
chr8: 20
chr17: 17
chr3: 16
chr6: 16
chr7: 15
chr12: 15
chr16: 15
chr5: 13
chr4: 11
chrX: 10
chr10: 9
chr14: 8
chr15: 7
chr22: 7
chr20: 6
chr13: 5
chr18: 4
chr21: 2

--- Mutated genes ---
CERT1: 2
PHF14: 2
MAMDC4: 2
PRAG1: 2
FASN: 1
SLC45A4: 1
AP2A2: 1
CYP11A1: 1
EPHA8: 1
SDF2L1: 1
CES3: 1
COL4A2: 1
BMP4: 1
PSD4: 1
NAALADL2: 1
PEX1: 1
CFHR4: 1
TRPS1: 1
CKMT2: 1
ZC3H12C: 1
SETD1B: 1
DCST1: 1
COL4A5: 1
C1QTNF9: 1
NR1H3: 1
GPANK1: 1
MN1: 1
NTHL1: 1
FOXN4: 1
NECTIN2: 1
SPSB3: 1
FCF1: 1
OR10G9: 1
LRRC7: 1
OGDHL: 1
ATP6V1B1: 1
CCDC40: 1
NAGLU: 1
SCN4A: 1
CNTLN: 1
FBN1: 1
ATP13A1: 1
FIP1L1: 1
CELSR1: 1
PPP2R5B: 1
SLC25A31: 1
SP140: 1
UPK3B: 1
ANKRD17: 1
ATXN7L2: 1
P3H2: 1
ZBTB44: 1
BPIFB4: 1
GJB3: 1
CHSY3: 1
HPCAL1: 1
KIF21B: 1
SCN5A: 1
DBF4: 1
TRPM6: 1
RET: 1
RPE: 1
KMT2D: 1
PPP1R3F: 1
ZFAND5: 1
GFUS: 1
CPNE6: 1
MAF: 1
LHB: 1
SLC9B2: 1
SWT1: 1
LMCD1: 1
KMT2C: 1
MINK1: 1
USP20: 1
MLF2: 1
VWCE: 1
KMT2A: 1
KRT84: 1
PSD3: 1
PYCR2: 1
ERCC6L: 1
TAL1: 1
COL11A1: 1
CCDC106: 1
CTNND2: 1
HPCA: 1
CLIC6: 1
TPRN: 1
TBC1D5: 1
SUMF2: 1
AHRR: 1
TPO: 1
SLC35E4: 1
TPCN2: 1
ERP27: 1
HEPH: 1
ARFGEF1: 1
TOGARAM1: 1
SCUBE3: 1
KIF3C: 1
ITPKC: 1
VSX1: 1
SHROOM3: 1
TMEM150A: 1
