238 mutations disappeared and 242 mutations appeared between 2 times.

--- Mutation subtypes ---
nonsynonymous SNV: 410
stopgain: 46	startloss: 2	stoploss: 1
frameshift deletion: 21

--- Characteristics ---
Average DP: 158		Average AD: 147
Average VAF sample: 0.08	   Average VAF pop: 7.4e-05

----- Impact on protein -----
SIFT scores counts: 
-1-0.05 = 244, 0.05-0.2 = 116, 0.2-1.5 = 22, not found = 98

SIFT predictions: 
Deleterious = 246, Tolerated = 136, not found = 98

Polyphen2 scores counts: 
-1-0.45 = 102, 0.45-0.95 = 75, 0.95-1.5 = 217, not found = 86

Polyphen predictions: 
Probably damaging = 213, Possibly damaging = 78, Benign = 103, not found = 86

--- Locations ---
chr19: 40
chr1: 39
chr3: 36
chr17: 34
chr11: 31
chr16: 27
chr2: 25
chr6: 24
chr5: 22
chr8: 22
chr9: 21
chr15: 21
chr12: 19
chr10: 16
chr22: 16
chr4: 15
chr7: 15
chr20: 15
chrX: 15
chr14: 11
chr21: 7
chr13: 6
chr18: 3

--- Mutated genes ---
ANKK1: 3
RAI1: 3
PLXNB3: 2
SRMS: 2
KCNQ3: 2
ACSBG1: 2
SETD5: 2
PKD1L1: 2
TNPO2: 2
ATXN2L: 2
MUC6: 2
CNBD2: 2
ATP2A1: 2
FRAS1: 2
GOLGA5: 1
MTSS1: 1
PCDHB3: 1
CYS1: 1
RUNX1: 1
GPSM1: 1
SREBF1: 1
ANGPTL8: 1
ISYNA1: 1
ESRP2: 1
FAM83A: 1
ARHGEF18: 1
TARBP2: 1
DACT1: 1
ATR: 1
RUFY3: 1
BMP6: 1
RNF111: 1
ZFYVE26: 1
MTO1: 1
ARHGAP35: 1
ADAMTS1: 1
PIWIL2: 1
TRIOBP: 1
SLC5A6: 1
CTU2: 1
LARP1: 1
CRMP1: 1
HS3ST1: 1
COL5A3: 1
PTPN23: 1
HGD: 1
STYXL2: 1
SLC6A1: 1
TNFRSF10B: 1
SPEF2: 1
KMT2B: 1
HKDC1: 1
GNAO1: 1
NYNRIN: 1
NOTCH1: 1
CAPN3: 1
TACC2: 1
HK2: 1
DISC1: 1
CCNK: 1
GP6: 1
BASP1: 1
NCF4: 1
TM9SF1: 1
ZSCAN21: 1
SSH1: 1
GPR137B: 1
RUSC2: 1
BRD8: 1
TJAP1: 1
MYH7B: 1
CABLES2: 1
SDF2L1: 1
ANP32A: 1
SYNE2: 1
FUT8: 1
LDLR: 1
GIT2: 1
TRPM5: 1
EMID1: 1
NANOS3: 1
MAMSTR: 1
DCLK2: 1
PTPN18: 1
SLC16A3: 1
TAPBP: 1
ZNF106: 1
ATN1: 1
PTPRU: 1
SCN9A: 1
WNK1: 1
LOX: 1
NOX3: 1
TP73: 1
DDX19B: 1
MRPS11: 1
AARSD1: 1
WDR55: 1
CSMD2: 1
CBLB: 1
LAIR1: 1
IL17RC: 1
PCDHB5: 1
FBXW8: 1
PLEC: 1
NRP1: 1
PSMA8: 1
JPH3: 1
C1orf94: 1
ATMIN: 1
CACNA2D2: 1
TLL2: 1
COPG1: 1
ATP10D: 1
CEP295: 1
NT5M: 1
AGRN: 1
NIPBL: 1
PHLDB2: 1
LRCH3: 1
TMPRSS3: 1
MFSD6: 1
TBX10: 1
NGFR: 1
MYH9: 1
TRIM22: 1
AAMDC: 1
RAB11FIP3: 1
MYO7B: 1
FASTKD3: 1
EFCAB6: 1
HIF3A: 1
POLE: 1
PHF2: 1
AIFM1: 1
GPAA1: 1
CAMSAP1: 1
ZBTB16: 1
ZNF23: 1
DUOX2: 1
SHROOM4: 1
TNNC2: 1
EIF4G1: 1
HERC1: 1
DST: 1
CTNND1: 1
MICAL1: 1
TNRC18: 1
ZXDC: 1
ZFYVE9: 1
BAHCC1: 1
CHPF2: 1
WNK4: 1
CDC42BPG: 1
IQSEC2: 1
KCNG1: 1
C19orf47: 1
